Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501032395988,Oikos Frutos Verdes,$0.00,$9.00,$0.00,0,0,Danone,Oikos Frutos Verdes
7501032396824,Oikos Nuez,$0.00,$9.00,$0.00,0,0,Danone,Oikos Nuez
7501000260614,Ondas Picante,$0.00,$8.00,$0.00,0,0,Barcel,Ondas Picante
7501198350456,Orange 600ml,$0.00,$9.00,$0.00,0,0,Refresco,Orange 600ml
7502226813301,Orbit Fresa,$3.50,$6.00,$6.00,0,0,Dulces,Orbit Fresa
2204309,Orbit Fresa,$1.00,$2.00,$2.00,N/A,0,Dulces,Orbit Fresa
7502226814292,Orbit Fresa,$0.00,$6.00,$0.00,0,0,Dulces,Orbit Fresa
75041731,Orbit Menta,$0.00,$2.00,$0.00,0,0,Dulces,Orbit Menta
7502226811567,Orbit Menta,$0.00,$6.00,$0.00,0,0,Dulces,Orbit Menta
7502226811598,Orbit Menta,$0.00,$6.00,$0.00,0,0,Dulces,Orbit Menta
7502226811628,Orbit Rosa,$0.00,$7.00,$0.00,0,0,Danone,Orbit Rosa
7501130903245,Oreo,$0.00,$34.50,$0.00,0,0,Holanda,Oreo
4050300106892,Osram 13w,$0.00,$35.00,$35.00,0,0,Tienda,Osram 13w
PLATO POZOLERO,PLATO POZOLERO,$0.00,$10.00,$0.00,27,0,Tienda,PLATO POZOLERO
7501943434660,Paal Kleenbebe Gran,$0.00,$150.00,$0.00,1,0,Tienda,Paal Kleenbebe Gran
7501943434684,Paal Kleenbebe Jumb,$0.00,$150.00,$0.00,2,0,Tienda,Paal Kleenbebe Jumb
7501011142541,Paketaxo,$7.00,$10.00,$0.00,12,0,Sabritas,Paketaxo
7501011135024,Paketaxo 170g,$16.00,$23.00,$0.00,0,0,Sabritas,Paketaxo 170g
7501011148963,Paketaxo 68g,$7.00,$10.00,$0.00,4,0,Sabritas,Paketaxo 68g
7501011112438,Paketaxo Botanero 65g,$0.00,$10.00,$0.00,0,0,- Sin Departamento -,Paketaxo Botanero 65g
7501011142565,Paketaxo Pasumecha,$0.00,$10.00,$0.00,0,0,Sabritas,Paketaxo Pasumecha
7501011144460,Paketaxo Pasumecha 70g,$7.00,$10.00,$0.00,0,0,Sabritas,Paketaxo Pasumecha 70g
7501011114708,Paketaxo Queso 220g,$0.00,$32.00,$0.00,0,0,Sabritas,Paketaxo Queso 220g
7501011155008,Paketaxo Quexo,$0.00,$35.00,$0.00,0,0,Sabritas,Paketaxo Quexo
7501011114623,Paketaxo Quexo,$0.00,$10.00,$0.00,4,0,Sabritas,Paketaxo Quexo
PAL GATO,Pal Gato,$18.00,$22.00,$0.00,0,0,Tienda,Pal Gato
PAL,Pal Perro,$15.00,$19.50,$18.00,N/A,0,Tienda,Pal Perro
7501130900411,Paleta Chemisse,$0.00,$11.00,$0.00,2,0,Holanda,Paleta Chemisse
7506306412705,Paleta Herseys,$0.00,$9.00,$0.00,0,0,Holanda,Paleta Herseys
7506306231955,Paleta Magnum Manzana Canela,$0.00,$24.00,$24.00,0,0,Holanda,Paleta Magnum Manzana Canela
75038489,Paleta Manita,$0.00,$2.00,$0.00,16,0,Tienda,Paleta Manita
