Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7622210253583,Tang Horchata,$0.00,$4.00,$0.00,3,0,Tienda,Tang Horchata
7622210253408,Tang Jamaica,$2.50,$4.00,$4.00,3,0,Tienda,Tang Jamaica
7622210253507,Tang Limon,$2.50,$4.00,$4.00,N/A,0,Nestle,Tang Limon
7622300716226,Tang Manzana,$0.00,$4.00,$0.00,0,0,Tienda,Tang Manzana
7622300717940,Tang Manzana Verde,$0.00,$4.00,$0.00,8,0,Tienda,Tang Manzana Verde
7622210253323,Tang Naranja,$2.50,$4.00,$4.00,20,0,Tienda,Tang Naranja
7622210254610,Tang Piña,$0.00,$4.00,$0.00,12,0,Tienda,Tang Piña
7622210255648,Tang Tamarindo,$0.00,$4.00,$0.00,0,0,Tienda,Tang Tamarindo
7622210254436,Tang Uva,$0.00,$4.00,$0.00,N/A,0,Tienda,Tang Uva
7501000164370,Taquis,$0.00,$8.00,$0.00,7,0,Tienda,Taquis
TE LIMON,Te De Limon,$0.00,$1.00,$0.00,26,0,Tienda,Te De Limon
TE MANZANILLA,Te De Manzanillas,$0.00,$1.00,$0.00,71,0,Tienda,Te De Manzanillas
7501030472292,Tejitas,$11.00,$14.50,$0.00,2,0,- Sin Departamento -,Tejitas
752216085172,Tenedor,$5.50,$7.00,$7.00,N/A,0,Tienda,Tenedor
7501431268036,Tenedor Chico Bolsa C50p,$5.50,$7.00,$7.00,0,0,Tienda,Tenedor Chico Bolsa C50p
7501431228030,Tenedor Mediano 25 Pzas,$0.00,$8.00,$0.00,36,0,Tienda,Tenedor Mediano 25 Pzas
7501048840205,Teq Azul 700Ml,$142.00,$185.00,$0.00,0,0,vino,Teq Azul 700Ml
7501048840212,Teq Azul 950Ml,$142.00,$185.00,$0.00,0,0,vino,Teq Azul 950Ml
749787500012,Teq Cabrito 1L,$0.00,$190.00,$0.00,1,0,vino,Teq Cabrito 1L
7501048810017,Teq Centenario 1L,$181.50,$236.00,$0.00,1,0,vino,Teq Centenario 1L
744607049108,Teq Jimador Rep 750Ml,$129.00,$168.00,$0.00,1,0,vino,Teq Jimador Rep 750Ml
744607049801,Teq Jimador Rep 950Ml,$129.00,$168.00,$0.00,0,0,vino,Teq Jimador Rep 950Ml
7501035012028,Teq Tradicional 750Ml,$201.00,$260.00,$240.00,1,0,vino,Teq Tradicional 750Ml
7501005616522,Tequila 100 Aos 200,$35.00,$45.50,$0.00,4,0,vino,Tequila 100 Aos 200
7501005616911,Tequila 100 Años,$226.00,$294.00,$0.00,1,0,vino,Tequila 100 Años
CABRITO 375ML,Tequila Cabrito 375ml,$0.00,$75.00,$0.00,1,0,vino,Tequila Cabrito 375ml
749787500135,Tequila Cabrito 950ml,$124.00,$161.00,$150.00,0,0,vino,Tequila Cabrito 950ml
698450501002,Tequila Casco Viejo,$77.00,$100.00,$0.00,3,0,vino,Tequila Casco Viejo
7501048810208,Tequila Gran Centena,$175.00,$227.50,$210.00,5,0,vino,Tequila Gran Centena
7503001506876,Tequila Rancho Escon,$45.00,$58.00,$0.00,9,0,vino,Tequila Rancho Escon
78603752,Tic Tac Naranja,$0.00,$6.00,$0.00,0,0,Dulces,Tic Tac Naranja
703885005459,Tiliko,$1.00,$2.00,$2.00,0,0,Dulces,Tiliko
703885001857,Tiliko Sandia,$1.00,$1.50,$0.00,16,0,Dulces,Tiliko Sandia
56100024798,Toalla Always NoctC8 Fl,$19.00,$24.00,$24.00,1,0,Tienda,Toalla Always NoctC8 Fl
7501019006074,Toalla Saba Intima C10,$13.50,$17.00,$17.50,0,0,Tienda,Toalla Saba Intima C10
7501019031137,Toallas Amore Saba C8,$7.00,$8.50,$0.00,4,0,- Sin Departamento -,Toallas Amore Saba C8
7501001405335,Toallas Naturella C10 Nocturna,$13.00,$17.50,$17.50,15,0,Tienda,Toallas Naturella C10 Nocturna
7501019006623,Toallas Saba Buenas Nc8,$16.50,$21.50,$21.50,12,0,Tienda,Toallas Saba Buenas Nc8
7501028610378,Toallitas,$0.00,$20.00,$0.00,0,0,Tienda,Toallitas
TOMATE,Tomate,$18.00,$20.00,$0.00,N/A,0,Verdura,Tomate
994,Tomate 1k,$4.00,$6.00,$0.00,N/A,0,Verdura,Tomate 1k
1014,Tomate 250g,$1.00,$1.50,$0.00,N/A,0,Verdura,Tomate 250g
1007,Tomate 500g,$2.00,$3.00,$0.00,N/A,0,Verdura,Tomate 500g
8410113000019,Torres 5,$156.00,$203.00,$190.00,0,0,vino,Torres 5
7501000189403,Tortilla Harina,$8.00,$10.00,$0.00,4,0,Bimbo,Tortilla Harina
7501030489634,Tortillas,$0.00,$15.00,$0.00,0,0,Bimbo,Tortillas
TORTILLAS,Tortillas,$0.00,$14.00,$0.00,N/A,0,Tienda,Tortillas
7501000111251,Tortillas Tia Rosa 260g,$10.00,$12.00,$0.00,5,0,Bimbo,Tortillas Tia Rosa 260g
7501030469940,Tortillinas Max,$0.00,$24.00,$0.00,0,0,Bimbo,Tortillinas Max
