Codigo,Producto,Precio Costo,Precio,Precio Mayoreo,Inventario,Inv. Minimo,Departamento
7501060000000,Agua Ciel De 1 L,$0.00,$10.00,$0.00,29,0,- Sin Departamento -
7501070000000,Agua Mineral 2L,$0.00,$25.00,$0.00,8,0,- Sin Departamento -
7501070000000,Agua Mineral CLimon 600,$0.00,$8.50,$0.00,10,0,Refresco
7501060000000,Agua Natural Ciel 15 Lt,$0.00,$12.00,$0.00,3,0,- Sin Departamento -
7501060000000,Agua Sta Maria 1.5L,$0.00,$11.00,$0.00,35,0,Tienda
7501060000000,Agua Sta Maria 355ml,$0.00,$3.00,$0.00,21,0,Tienda
7501060000000,Agua Sta Maria 500ml,$0.00,$5.00,$0.00,15,0,Tienda
 AGUACATE,Aguacate,$30.00,$39.00,$0.00,0,0,Tienda
62,Aguacate 1k,$0.00,$40.00,$0.00,0,0,Verdura
93,Aguacate 250g,$0.00,$10.00,$0.00,0,0,Verdura
79,Aguacate 500g,$0.00,$20.00,$0.00,0,0,Verdura
7501060000000,Aguita Uva 300ml,$0.00,$5.00,$0.00,1,0,Nestle
7501060000000,Air Wick,$35.00,$45.50,$0.00,0,0,Tienda
7501060000000,Air Wick,$35.00,$45.50,$0.00,1,0,Tienda
7503000000000,Alcohol 500ml,$13.00,$16.00,$0.00,0,0,Farmacia
7503000000000,Alcohol Lourdes,$8.00,$9.00,$0.00,0,0,Tienda
7501060000000,Alpura 1L Clasica,$16.00,$17.50,$17.00,39,0,Alpura
7501060000000,Alpura 1L Deslactosa,$16.00,$20.00,$20.00,14,0,Alpura
7501060000000,Alpura Choco 250ml,$0.00,$7.50,$0.00,1,0,Alpura
7501060000000,Alpura Deslactosada Light 1L,$0.00,$19.00,$0.00,1,0,Tienda
7501060000000,Alpura Durazno,$0.00,$5.00,$0.00,4,0,- Sin Departamento -
7501060000000,Alpura Frutal 1,$15.00,$18.00,$0.00,0,0,Alpura
7501060000000,Alpura Frutal 250ml Pi�a,$6.00,$8.00,$0.00,0,0,Alpura
7501060000000,Alpura Frutal Durazno,$6.00,$8.00,$0.00,2,0,Alpura
7501060000000,Alpura Frutal Fresa,$6.00,$8.00,$0.00,0,0,Alpura
7501060000000,Alpura Frutal Guanabana,$6.00,$7.50,$0.00,0,0,- Sin Departamento -
7501060000000,Alpura Frutas Del Bosque,$0.00,$5.00,$0.00,1,0,- Sin Departamento -
7501060000000,Alpura Light 1L,$14.00,$16.50,$16.50,4,0,Alpura
7501060000000,Alpura Mango,$0.00,$5.00,$0.00,4,0,Alpura
7501060000000,Alpura Manzana,$0.00,$5.00,$0.00,3,0,- Sin Departamento -
7501060000000,Alpura Semi 1L,$14.00,$17.00,$16.50,1,0,Alpura
75002091,Alpura Vainilla 250ml,$6.00,$8.50,$8.50,2,0,Alpura
7501060000000,Alpura Vivenda 250g,$6.50,$8.00,$0.00,1,0,Alpura
7501060000000,Alpura Vivenda Digestion,$6.50,$8.00,$0.00,1,0,Alpura
7501060000000,Alpura Vivenda Regenerante,$6.50,$8.00,$0.00,1,0,Alpura
7501060000000,Alpura Zarzamora,$0.00,$5.00,$0.00,3,0,Alpura
7503010000000,Altex Guante 6,$0.00,$17.00,$0.00,0,0,Tienda
7501070000000,Alupak 10m,$13.00,$17.00,$0.00,8,0,Tienda
7506340000000,Always,$20.00,$24.00,$0.00,8,0,- Sin Departamento -
7506200000000,Always Noc.,$16.00,$20.50,$0.00,1,0,Tienda
7790070000000,Always Normal FlexiAlas,$15.00,$19.50,$19.50,0,0,Tienda
7506200000000,Always Pink,$0.00,$17.50,$0.00,7,0,Tienda
7501060000000,Ameyal 600ml,$7.50,$9.00,$0.00,1,0,Refresco
7501060000000,Ameyal Fresa 2L,$13.00,$15.00,$0.00,1,0,Refresco
7501060000000,Ameyal Fresa 3L,$22.00,$24.00,$0.00,4,0,Refresco
7501060000000,Ameyal Pi�a 3L,$19.00,$22.00,$0.00,7,0,Refresco
7501030000000,Animalitos 200g,$9.50,$12.00,$0.00,2,0,Marinela
7501000000000,Arco Iris 75 g,$6.00,$10.00,$0.00,1,0,Gamesa
7501010000000,Ariel 1 Kg,$28.00,$33.00,$33.00,6,0,Detergentes
7501070000000,Ariel 1 L,$0.00,$39.00,$0.00,3,0,Tienda
7506340000000,Ariel 1kg,$31.00,$37.00,$0.00,5,0,Detergentes
7501070000000,Ariel 250 Ml,$8.50,$10.00,$0.00,15,0,Detergentes
7500440000000,Ariel Aroma Orijinal 850g,$28.00,$34.00,$0.00,7,0,Detergentes
7501010000000,Ariel Bolsa 500gms,$17.00,$20.00,$20.00,24,0,Detergentes
7501070000000,Ariel Liq 1L,$30.00,$35.50,$35.50,8,0,Detergentes
613009000000,Arizona,$0.00,$11.00,$0.00,6,0,Tienda
613009000000,Arizona 680ml,$0.00,$11.00,$0.00,3,0,Tienda
613009000000,Arizonas Kiwi 680ml,$0.00,$11.00,$0.00,2,0,Tienda
7501010000000,Arroz,$19.00,$24.50,$24.50,0,0,Tienda
 ARROZ,Arroz 1 Kg,$12.00,$15.00,$0.00,0,0,Tienda
24,Arroz 250g,$0.00,$3.50,$0.00,0,0,Tienda
17,Arroz 500g,$0.00,$7.00,$0.00,0,0,Tienda
7506310000000,Arroz A La Espa�ola,$0.00,$20.00,$0.00,0,0,Tienda
7506310000000,Arroz A La Mexicana,$0.00,$20.00,$0.00,0,0,Tienda
7501010000000,Arroz Blanco,$14.50,$19.00,$19.00,0,0,Tienda
7506310000000,Arroz Con Tomate,$0.00,$20.00,$0.00,0,0,Tienda
7501050000000,Atun Dolores Aceite,$13.00,$15.00,$13.00,13,0,Tienda
7501050000000,Atun Dolores Agua,$13.00,$15.00,$0.00,2,0,Tienda
 AVENA,Avena,$20.00,$24.00,$0.00,0,0,Tienda
31,Avena 1k,$0.00,$24.00,$0.00,0,0,Tienda
55,Avena 250g,$0.00,$6.00,$0.00,0,0,Tienda
7501760000000,Avena 3 minutos 400g,$14.00,$18.00,$18.00,5,0,Tienda
48,Avena 500g,$0.00,$12.00,$0.00,0,0,Tienda
7791290000000,Axe 2012,$36.00,$43.50,$0.00,0,0,Tienda
7791290000000,Axe Anarchy,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Apollo,$0.00,$45.00,$0.00,0,0,- Sin Departamento -
75043308,Axe Barra 54g,$0.00,$40.00,$0.00,1,0,Tienda
75045463,Axe Barra 54g,$0.00,$40.00,$0.00,1,0,Tienda
75035778,Axe Barra 54g,$0.00,$40.00,$0.00,1,0,Tienda
75038960,Axe Barra 54g,$0.00,$40.00,$0.00,1,0,Tienda
75043285,Axe Barra Apollo,$27.00,$35.00,$0.00,0,0,Farmacia
7791290000000,Axe Black,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Black Night,$33.00,$44.00,$0.00,0,0,Farmacia
7506310000000,Axe Conviction,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Dama,$0.00,$39.00,$0.00,0,0,Tienda
7791290000000,Axe Dark,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Dark,$39.00,$48.00,$0.00,0,0,Farmacia
7791290000000,Axe Excite,$0.00,$45.00,$0.00,0,0,- Sin Departamento -
7791290000000,Axe Fusion,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Gold,$33.00,$44.00,$0.00,0,0,Farmacia
7791290000000,Axe Gold,$39.00,$48.00,$0.00,0,0,Farmacia
7791290000000,Axe Peace,$33.00,$44.00,$0.00,0,0,Farmacia
7506310000000,Axe Phoeni,$38.50,$46.50,$0.00,0,0,Tienda
7506310000000,Axe Seco Adrenalins,$39.00,$48.00,$0.00,0,0,Farmacia
7791290000000,Axe Seco Apollo,$39.00,$48.00,$0.00,0,0,Farmacia
7506310000000,Axe Young,$33.00,$44.00,$0.00,0,0,Farmacia
7501070000000,Azucaradas,$0.00,$35.00,$0.00,0,0,Tienda
7501070000000,Azucaradas 30g,$0.00,$3.50,$0.00,1,0,Tienda
7501060000000,BAM Brasso 650ml,$0.00,$40.00,$0.00,2,0,Tienda
7501060000000,BAM Sarro Y Mugre 650ml,$0.00,$40.00,$0.00,2,0,Tienda
757528000000,BIG MIX,$0.00,$8.00,$0.00,0,0,Tienda
 BROCOLI,BROCOLI,$18.00,$21.50,$0.00,0,0,- Sin Departamento -
7501010000000,Bacardi Blanco 1l,$158.00,$197.50,$0.00,0,0,vino
7501010000000,Bacardi Blanco 200ml,$42.00,$53.00,$45.00,0,0,vino
7501010000000,Bacardi Blanco 375ml,$74.00,$96.00,$0.00,2,0,Tienda
7501010000000,Bacardi Blanco 750ml,$135.00,$176.00,$150.00,0,0,vino
756774000000,Baileys,$0.00,$130.00,$0.00,0,0,Tienda
756774000000,Baileys Tubo,$62.00,$80.00,$0.00,1,0,Tienda
7501760000000,Barras Quaker,$0.00,$12.00,$0.00,0,0,Gamesa
7501000000000,Barras de Coco 106g,$6.00,$10.00,$0.00,2,0,Gamesa
75030575,Barrilito 325ml,$0.00,$16.00,$0.00,1,0,- Sin Departamento -
75035242,Barrilito 444ml,$0.00,$14.00,$0.00,32,0,Tienda
7501000000000,Barrita Bran Frut Bimbo,$0.00,$8.00,$0.00,2,0,Tienda
7501000000000,Barrita Bran Frut Bimbo,$0.00,$8.00,$0.00,3,0,Bimbo
754178000000,Barrita Winis,$1.00,$1.00,$0.00,16,0,Dulces
7501000000000,Barritas Bimbo Multigr42,$0.00,$8.00,$0.00,5,0,Tienda
7501000000000,Barritas Fresa,$8.00,$10.00,$0.00,3,0,Marinela
7501030000000,Barritas Moras,$8.00,$10.00,$0.00,3,0,Marinela
7501000000000,Barritas Pi�a,$8.00,$10.00,$9.00,2,0,Marinela
7501030000000,Baygon Casa Y Jardin,$32.50,$38.00,$0.00,1,0,Tienda
 BAYGON 250ML,Baygon Casa Y Jardin 250ml,$0.00,$20.00,$0.00,1,0,Tienda
7501030000000,Baygon Poder Mortal 400ml,$39.50,$47.50,$41.50,1,0,Tienda
7501030000000,Baygon Verde,$0.00,$35.00,$0.00,1,0,Tienda
7501030000000,Baygon Verde 400ml,$43.00,$50.00,$46.00,1,0,Tienda
7501030000000,Bene Gastro,$5.00,$6.50,$0.00,0,0,Danone
757528000000,Big Mix,$0.00,$10.00,$0.00,1,0,Barcel
757528000000,Big Mix Clasico,$0.00,$10.00,$0.00,3,0,Barcel
757528000000,Big Mix Clasico,$0.00,$10.00,$0.00,3,0,Barcel
757528000000,Big Mix Fuego,$0.00,$8.00,$0.00,0,0,Barcel
7501030000000,Bimbo Rendidor 454g,$0.00,$22.00,$0.00,0,0,Bimbo
7501000000000,Bimbollos Bimbo c8,$21.00,$27.00,$0.00,1,0,Bimbo
7501030000000,Bimbo�uelos 99g,$0.00,$13.00,$0.00,1,0,Bimbo
7501000000000,Bimbuuelos 76g,$0.00,$10.00,$0.00,2,0,- Sin Departamento -
7501000000000,Bimbuuelos Bimbo,$9.00,$12.00,$0.00,10,0,Bimbo
7501030000000,Blanca Nieves 1k,$20.50,$20.50,$26.50,11,0,Detergentes
7501030000000,Blanca Nieves 250g,$0.00,$7.00,$0.00,45,0,Tienda
7501030000000,Blanca Nieves 500g,$10.00,$10.00,$13.00,5,0,Detergentes
7501270000000,Blanqueador Patitos,$0.00,$9.00,$0.00,7,0,Tienda
7502240000000,Blumen,$22.00,$29.00,$29.00,1,0,Tienda
7502240000000,Blumen,$22.00,$29.00,$29.00,1,0,Tienda
7501040000000,Boing  Pi�a 1L,$12.00,$16.00,$16.00,1,0,Tienda
7501040000000,Boing 1l Fresa Tetra,$12.00,$16.00,$16.00,2,0,Tienda
7501040000000,Boing 1l Guayaba Tet,$13.50,$18.00,$0.00,11,0,Tienda
7501040000000,Boing 1l Mango Tetra,$13.50,$18.00,$0.00,10,0,Tienda
7501040000000,Boing 1l Manzana Tet,$13.50,$18.00,$16.00,10,0,Tienda
7501040000000,Boing 1l Naranja Tet,$13.50,$18.00,$16.00,12,0,Refresco
7501040000000,Boing 1l Uva Tetrapa,$13.50,$18.00,$0.00,9,0,Tienda
75001766,Boing 250ml Fresa Te,$4.00,$5.50,$5.50,3,0,Tienda
75001773,Boing 250ml Guayaba,$4.00,$5.50,$0.00,29,0,Tienda
75001759,Boing 250ml Mango ,$4.00,$5.50,$0.00,20,0,Tienda
75001797,Boing 250ml Manzana,$4.00,$5.50,$0.00,38,0,Tienda
75001834,Boing 250ml Uva Tetr,$4.00,$5.50,$5.50,27,0,Tienda
19836200218,Boing 500ml Durazno,$6.00,$9.00,$8.00,10,0,Tienda
75003166,Boing 500ml Fresa Te,$6.00,$8.00,$8.00,8,0,Tienda
75003135,Boing 500ml Guayaba,$6.00,$9.00,$8.00,14,0,Tienda
75003104,Boing 500ml Mango Te,$6.00,$9.00,$0.00,24,0,Tienda
75003159,Boing 500ml Manzana,$7.00,$9.00,$8.00,16,0,Tienda
75003180,Boing 500ml Uva Tetr,$0.00,$9.00,$0.00,8,0,Tienda
75001803,Boing Naranja 250gr,$4.00,$5.50,$5.50,27,0,Tienda
7501000000000,Bold 2 En 1 500g Fre,$0.00,$14.00,$0.00,6,0,Tienda
7506200000000,Bold 900g,$0.00,$28.00,$0.00,6,0,Tienda
7501000000000,Bombitos 135g,$0.00,$9.00,$0.00,1,0,Gamesa
 BOMBON GRANDE,Bombon Grande,$1.00,$1.50,$0.00,30,0,Dulces
725181000000,Bomvaso Lucas 30g,$3.50,$4.50,$0.00,8,0,Dulces
75027971,Bon O Bon Arcor Amar,$0.00,$4.00,$0.00,44,0,Tienda
75031022,Bon O Bon Cafe,$0.00,$4.00,$0.00,8,0,Tienda
758104000000,Bonafont 11l,$21.00,$25.00,$0.00,1,0,- Sin Departamento -
758104000000,Bonafont 1l,$0.00,$10.00,$0.00,2,0,Tienda
758104000000,Bonafont 20 L,$30.00,$38.00,$0.00,7,0,Tienda
758104000000,Bonafont Jamaica 500ml,$5.50,$7.00,$0.00,6,0,Agua
75038649,Bonafont Kids,$0.00,$4.50,$0.00,22,0,Agua
75810400544,Bonafont Levite Pepinolimon 1.5l,$0.00,$15.00,$0.00,1,0,bonafont
758104000000,Bonafont Mango 1.5 L,$11.00,$15.00,$0.00,1,0,Agua
758104000000,Bonafont Pi�a 600ml,$5.50,$7.00,$0.00,8,0,Agua
758104000000,Bonafont Uva Verde 500ml,$5.50,$7.00,$0.00,3,0,Agua
7501060000000,Bota Navidea Mediana,$0.00,$36.00,$0.00,2,0,Dulces
7501000000000,Brandy Azteza De Oro 700M,$139.00,$181.00,$170.00,1,0,vino
75028855,Brandy Don Pedro 200,$27.00,$35.00,$0.00,22,0,- Sin Departamento -
75020446,Brandy Don Pedro 200Ml,$29.00,$38.00,$0.00,6,0,vino
7501000000000,Brandy Don Pedro 750Ml,$100.00,$130.00,$120.00,1,0,vino
7501000000000,Brandy Presidente 1lt,$103.00,$134.00,$0.00,1,0,vino
7501000000000,Brandy Presidente 200Ml,$25.50,$32.00,$30.00,13,0,vino
7501000000000,Brandy Presidente De,$81.00,$106.00,$90.00,1,0,vino
8410110000000,Brandy Torres 10 700Ml,$222.00,$290.00,$260.00,1,0,vino
8410110000000,Brandy Torres 15,$454.00,$590.00,$0.00,1,0,vino
7501060000000,Braso Antigrasa Cocina,$35.00,$35.00,$0.00,11,0,Detergentes
7501060000000,Brasso 1 L,$0.00,$17.00,$0.00,2,0,Tienda
7501060000000,Brasso Vidrios 650ml,$0.00,$40.00,$0.00,1,0,Tienda
75051945,Bubalo,$0.00,$1.00,$0.00,18,0,- Sin Departamento -
75043728,Bubalo Azul,$0.00,$1.00,$0.00,3,0,Tienda
75041762,Bubalo Chile,$0.00,$1.00,$0.00,9,0,Tienda
75043711,Bubalo Fresa,$0.00,$1.00,$0.00,10,0,Tienda
75043759,Bubalo Tuti,$0.00,$1.00,$0.00,4,0,Tienda
75043766,Bubalo Yerbabuena,$0.00,$1.00,$0.00,23,0,- Sin Departamento -
